"unit","qudtUnit","qudtLabel","qudtUri","qudtDimensionVector","qudtConversionMultiplier","nonLatexDescription","latexDescription","TotalUses"
"[lb_av].[ft_i]-1","LB-PER-FT","Pound per Foot","http://qudt.org/vocab/unit/LB-PER-FT","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T0D0",1.48816394356955,NA,"""Pound per Foot"" is an Imperial unit for  'Mass Per Length' expressed as \(lb/ft\).",0
"[lb_av].[degR]","LB-DEG_R","Pound Degree Rankine","http://qudt.org/vocab/unit/LB-DEG_R","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H1T0D0",NA,NA,"\(\textbf{Pound Degree Rankine} is an Imperial unit for 'Mass Temperature' expressed as \(lb-degR\).",0
"[lb_av].[degF]","LB-DEG_F","Pound Degree Fahrenheit","http://qudt.org/vocab/unit/LB-DEG_F","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H1T0D0",NA,NA,"\(\textbf{Pound Degree Fahrenheit} is an Imperial unit for 'Mass Temperature' expressed as \(lb-degF\).",0
"[lb_av].[cyd_i]-1","LB-PER-YD3","Pound per Cubic Yard","http://qudt.org/vocab/unit/LB-PER-YD3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",0.593276421257783,NA,"""Pound per Cubic Yard"" is an Imperial unit for  'Density' expressed as \(lb/yd^{3}\).",0
"[lb_av].[cin_i]-1","LB-PER-IN3","Pound per Cubic Inch","http://qudt.org/vocab/unit/LB-PER-IN3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",27679.9047102031,NA,"""Pound per Cubic Inch"" is an Imperial unit for  'Density' expressed as \(lb/in^{3}\).",0
"[lb_av].[cft_i]-1","LB-PER-FT3","Pound per Cubic Foot","http://qudt.org/vocab/unit/LB-PER-FT3","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",16.0184633739601,NA,"""Pound per Cubic Foot"" is an Imperial unit for  'Density' expressed as \(lb/ft^{3}\).",0
"[lb_av]","LB","Pound Mass","http://qudt.org/vocab/unit/LB","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",0.45359237,"A pound of mass, based on the international standard definition of the pound as exactly 0.45359237 kg.",NA,0
"[kn_i]/s","KN-PER-SEC","Knot per Second","http://qudt.org/vocab/unit/KN-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-2D0",0.514444444444444,NA,"\(\textit{Knot per Second}\) is a unit for 'Linear Acceleration' expressed as \(kt/s\).",0
"[kn_i].s-1","KN-PER-SEC","Knot per Second","http://qudt.org/vocab/unit/KN-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-2D0",0.514444444444444,NA,"\(\textit{Knot per Second}\) is a unit for 'Linear Acceleration' expressed as \(kt/s\).",0
"[kn_i]","KN","Knot","http://qudt.org/vocab/unit/KN","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",0.514444444444444,NA,"The knot (pronounced 'not') is a unit of speed equal to one nautical mile (1.852 km) per hour, approximately 1.151 mph. The abbreviation \(kn\) is preferred by the International Hydrographic Organization (IHO), which includes every major sea-faring nation; however, the abbreviations kt (singular) and kts (plural) are also widely used. However, use of the abbreviation kt for knot conflicts with the SI symbol for kilotonne. The knot is a non-SI unit accepted for use with the International System of Units (SI). Worldwide, the knot is used in meteorology, and in maritime and air navigation - for example, a vessel travelling at 1 knot along a meridian travels one minute of geographic latitude in one hour. Etymologically, the term knot derives from counting the number of knots in the line that unspooled from the reel of a chip log in a specific time.",0
"[IU]/L","IU-PER-L","International Unit per Liter","http://qudt.org/vocab/unit/IU-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",NA,NA,"""International Unit per Liter"" is a unit for  'Serum Or Plasma Level' expressed as \(IU/L\).",0
"[iU]/L","IU-PER-L","International Unit per Liter","http://qudt.org/vocab/unit/IU-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",NA,NA,"""International Unit per Liter"" is a unit for  'Serum Or Plasma Level' expressed as \(IU/L\).",0
"[IU].L-1","IU-PER-L","International Unit per Liter","http://qudt.org/vocab/unit/IU-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",NA,NA,"""International Unit per Liter"" is a unit for  'Serum Or Plasma Level' expressed as \(IU/L\).",0
"[iU].L-1","IU-PER-L","International Unit per Liter","http://qudt.org/vocab/unit/IU-PER-L","http://qudt.org/vocab/dimensionvector/A1E0L-3I0M0H0T0D0",NA,NA,"""International Unit per Liter"" is a unit for  'Serum Or Plasma Level' expressed as \(IU/L\).",0
"[IU]","IU","International Unit","http://qudt.org/vocab/unit/IU","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T0D0",NA,NA,"<p><strong>International Unit</strong> is a unit for \textit{'Amount Of Substance'} expressed as \(IU\)</p>.",0
"[iU]","IU","International Unit","http://qudt.org/vocab/unit/IU","http://qudt.org/vocab/dimensionvector/A1E0L0I0M0H0T0D0",NA,NA,"<p><strong>International Unit</strong> is a unit for \textit{'Amount Of Substance'} expressed as \(IU\)</p>.",0
"[in_i]4","IN4","Quartic Inch","http://qudt.org/vocab/unit/IN4","http://qudt.org/vocab/dimensionvector/A0E0L4I0M0H0T0D0",4.162314e-07,NA,NA,0
"[in_i]3/min","IN3-PER-MIN","Cubic Inch per Minute","http://qudt.org/vocab/unit/IN3-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",2.7311773333e-07,NA,"""Cubic Inch per Minute"" is an Imperial unit for  'Volume Per Unit Time' expressed as \(in^{3}/min\).",0
"[in_i]3.min-1","IN3-PER-MIN","Cubic Inch per Minute","http://qudt.org/vocab/unit/IN3-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",2.7311773333e-07,NA,"""Cubic Inch per Minute"" is an Imperial unit for  'Volume Per Unit Time' expressed as \(in^{3}/min\).",0
"[in_i]3","IN3","Cubic Inch","http://qudt.org/vocab/unit/IN3","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",1.6387064e-05,"The cubic inch is a unit of measurement for volume in the Imperial units and United States customary units systems. It is the volume of a cube with each of its three sides being one inch long. The cubic inch and the cubic foot are still used as units of volume in the United States, although the common SI units of volume, the liter, milliliter, and cubic meter, are continually replacing them, especially in manufacturing and high technology. One cubic foot is equal to exactly 1728 cubic inches.",NA,0
"[in_i]2","IN2","Square Inch","http://qudt.org/vocab/unit/IN2","http://qudt.org/vocab/dimensionvector/A0E0L2I0M0H0T0D0",0.00064516,NA,"A square inch is a unit of area, equal to the area of a square with sides of one inch. The following symbols are used to denote square inches: square in, sq inches, sq inch, sq in inches/-2, inch/-2, in/-2, inches^2, \(inch^2\), \(in^2\), \(inches^2\), \(inch^2\), \(in^2\) or in some cases \(""^2\). The square inch is a common unit of measurement in the United States and the United Kingdom.",0
"[in_i]/s2","IN-PER-SEC2","Inch per Square second","http://qudt.org/vocab/unit/IN-PER-SEC2","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-2D0",0.0254,NA,"\(\textit{Inch per Square second}\) is an Imperial unit for \(\textit{Linear Acceleration}\) expressed as \(in/s^2\).",0
"[in_i]/s","IN-PER-SEC","Inch per Second","http://qudt.org/vocab/unit/IN-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",0.0254,"The inch per second is a unit of speed or velocity. It expresses the distance in inches (in) traveled or displaced, divided by time in seconds (s, or sec). The equivalent SI unit is the metre per second. Abbreviations include in/s, in/sec, ips, and less frequently in s.",NA,0
"[in_i].s-2","IN-PER-SEC2","Inch per Square second","http://qudt.org/vocab/unit/IN-PER-SEC2","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-2D0",0.0254,NA,"\(\textit{Inch per Square second}\) is an Imperial unit for \(\textit{Linear Acceleration}\) expressed as \(in/s^2\).",0
"[in_i].s-1","IN-PER-SEC","Inch per Second","http://qudt.org/vocab/unit/IN-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-1D0",0.0254,"The inch per second is a unit of speed or velocity. It expresses the distance in inches (in) traveled or displaced, divided by time in seconds (s, or sec). The equivalent SI unit is the metre per second. Abbreviations include in/s, in/sec, ips, and less frequently in s.",NA,0
"[in_i].[degF]-1","IN-PER-DEG_F","Inch Per Degree Fahrenheit","http://qudt.org/vocab/unit/IN-PER-DEG_F","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H-1T0D0",0.04572,NA,NA,0
"[in_i]","IN","Inch","http://qudt.org/vocab/unit/IN","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.0254,"An inch is the name of a unit of length in a number of different systems, including Imperial units, and United States customary units. There are 36 inches in a yard and 12 inches in a foot. Corresponding units of area and volume are the square inch and the cubic inch.",NA,0
"[in_i'Hg]","IN_HG","Inch of Mercury","http://qudt.org/vocab/unit/IN_HG","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",3386.389,NA,"Inches of mercury, (inHg) is a unit of measurement for pressure. It is still widely used for barometric pressure in weather reports, refrigeration and aviation in the United States, but is seldom used elsewhere. It is defined as the pressure exerted by a column of mercury of 1 inch in height at \(32 ^\circ F\) at the standard acceleration of gravity. 1 inHg = 3,386.389 pascals at \(0 ^\circ C\).",0
"[in_i'H2O]","IN_H2O","Inch of Water","http://qudt.org/vocab/unit/IN_H2O","http://qudt.org/vocab/dimensionvector/A0E0L-1I0M1H0T-2D0",249.080024,NA,"Inches of water, wc, inch water column (inch WC), inAq, Aq, or inH2O is a non-SI unit for pressure. The units are by convention and due to the historical measurement of certain pressure differentials. It is used for measuring small pressure differences across an orifice, or in a pipeline or shaft. Inches of water can be converted to a pressure unit using the formula for pressure head. It is defined as the pressure exerted by a column of water of 1 inch in height at defined conditions for example \(39 ^\circ F\) at the standard acceleration of gravity; 1 inAq is approximately equal to 249 pascals at \(0 ^\circ C\).",0
"[HP]","HP","Horsepower","http://qudt.org/vocab/unit/HP","http://qudt.org/vocab/dimensionvector/A0E0L2I0M1H0T-3D0",745.6999,"550 foot-pound force per second",NA,0
"[gr].[gal_us]-1","GRAIN-PER-GAL_US","Grain Per Gallon (US)","http://qudt.org/vocab/unit/GRAIN-PER-GAL_US","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",0.01711806,NA,NA,0
"[gr].[gal_br]-1","GRAIN-PER-GAL","Grain per Gallon","http://qudt.org/vocab/unit/GRAIN-PER-GAL","http://qudt.org/vocab/dimensionvector/A0E0L-3I0M1H0T0D0",0.017118061,NA,"""Grain per Gallon"" is an Imperial unit for  'Density' expressed as \(gr/gal\).",0
"[gr]","GRAIN","Grain","http://qudt.org/vocab/unit/GRAIN","http://qudt.org/vocab/dimensionvector/A0E0L0I0M1H0T0D0",6.479891e-05,NA,"A grain is a unit of measurement of mass that is nominally based upon the mass of a single seed of a cereal.  The grain is the only unit of mass measure common to the three traditional English mass and weight systems; the obsolete Tower grain was, by definition, exactly  /64 of a troy grain. Since 1958, the grain or troy grain measure has been defined in terms of units of mass in the International System of Units as precisely 64.79891 milligrams. Thus, \(1 gram \approx 15.4323584 grains\).  There are precisely 7,000 grains per avoirdupois pound in the imperial and U.S. customary units, and 5,760 grains in the Troy pound.",0
"[gil_us].s-1","GI_US-PER-SEC","Gill (US) Per Second","http://qudt.org/vocab/unit/GI_US-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.0001182941,NA,NA,0
"[gil_us].min-1","GI_US-PER-MIN","Gill (US) Per Minute","http://qudt.org/vocab/unit/GI_US-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",1.971568e-06,NA,NA,0
"[gil_us].h-1","GI_US-PER-HR","Gill (US) Per Hour","http://qudt.org/vocab/unit/GI_US-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",3.285947e-08,NA,NA,0
"[gil_us].d-1","GI_US-PER-DAY","Gill (US) Per Day","http://qudt.org/vocab/unit/GI_US-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",1.369145e-09,NA,NA,0
"[gil_us]","GI_US","Gill (US)","http://qudt.org/vocab/unit/GI_US","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",0.000118294125,NA,NA,0
"[gil_br].s-1","GI_UK-PER-SEC","Gill (UK) Per Second","http://qudt.org/vocab/unit/GI_UK-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.0001420653,NA,NA,0
"[gil_br].min-1","GI_UK-PER-MIN","Gill (UK) Per Minute","http://qudt.org/vocab/unit/GI_UK-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",2.367755e-06,NA,NA,0
"[gil_br].h-1","GI_UK-PER-HR","Gill (UK) Per Hour","http://qudt.org/vocab/unit/GI_UK-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",3.946258e-08,NA,NA,0
"[gil_br].d-1","GI_UK-PER-DAY","Gill (UK) Per Day","http://qudt.org/vocab/unit/GI_UK-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",1.644274e-09,NA,NA,0
"[gil_br]","GI_UK","Gill (UK)","http://qudt.org/vocab/unit/GI_UK","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",0.0001420653,NA,NA,0
"[gal_wi]","GAL_US_DRY","Dry Gallon US","http://qudt.org/vocab/unit/GAL_US_DRY","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",0.00440488377,NA,"""Dry Gallon US"" is a unit for  'Dry Volume' expressed as \(dry_gal\).",0
"[gal_us]/min","GAL_US-PER-MIN","US Gallon per Minute","http://qudt.org/vocab/unit/GAL_US-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",6.30902e-05,NA,"""US Gallon per Minute"" is a C.G.S System unit for  'Volume Per Unit Time' expressed as \(gal/min\).",0
"[gal_us]/d","GAL_US-PER-DAY","US Gallon per Day","http://qudt.org/vocab/unit/GAL_US-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",4.38126389e-08,NA,"""US Gallon per Day"" is a unit for  'Volume Per Unit Time' expressed as \(gal/d\).",0
"[gal_us].s-1","GAL_US-PER-SEC","Gallon (US Liquid) Per Second","http://qudt.org/vocab/unit/GAL_US-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.003785412,NA,NA,0
"[gal_us].min-1","GAL_US-PER-MIN","US Gallon per Minute","http://qudt.org/vocab/unit/GAL_US-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",6.30902e-05,NA,"""US Gallon per Minute"" is a C.G.S System unit for  'Volume Per Unit Time' expressed as \(gal/min\).",0
"[gal_us].h-1","GAL_US-PER-HR","Gallon (US) Per Hour","http://qudt.org/vocab/unit/GAL_US-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",1.051503e-06,NA,NA,0
"[gal_us].d-1","GAL_US-PER-DAY","US Gallon per Day","http://qudt.org/vocab/unit/GAL_US-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",4.38126389e-08,NA,"""US Gallon per Day"" is a unit for  'Volume Per Unit Time' expressed as \(gal/d\).",0
"[gal_us]","GAL_US","US Gallon","http://qudt.org/vocab/unit/GAL_US","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",0.003785412,NA,"""US Gallon"" is a unit for  'Liquid Volume' expressed as \(galUS\).",0
"[gal_br].s-1","GAL_UK-PER-SEC","Gallon (UK) Per Second","http://qudt.org/vocab/unit/GAL_UK-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.00454609,NA,NA,0
"[gal_br].m-1","GAL_UK-PER-MIN","Gallon (UK) Per Minute","http://qudt.org/vocab/unit/GAL_UK-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",7.576817e-05,NA,NA,0
"[gal_br].h-1","GAL_UK-PER-HR","Gallon (UK) Per Hour","http://qudt.org/vocab/unit/GAL_UK-PER-HR","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",1.262803e-06,NA,NA,0
"[gal_br].d-1","GAL_UK-PER-DAY","Gallon (UK) Per Day","http://qudt.org/vocab/unit/GAL_UK-PER-DAY","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",5.261678e-08,NA,NA,0
"[gal_br]","GAL_IMP","Imperial Gallon","http://qudt.org/vocab/unit/GAL_IMP","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",0.00454609,NA,"""Imperial Gallon"" is an Imperial unit for  'Liquid Volume' expressed as \(galIMP\).",0
"[gal_br]","GAL_UK","Gallon (UK)","http://qudt.org/vocab/unit/GAL_UK","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T0D0",0.00454609,NA,NA,0
"[g]","G","Gravity","http://qudt.org/vocab/unit/G","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T-2D0",9.80665,NA,"""Gravity"" is a unit for  'Linear Acceleration' expressed as \(G\).",0
"[fur_us]","FUR","Furlong","http://qudt.org/vocab/unit/FUR","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",201.168,"A furlong is a measure of distance in imperial units and U.S. customary units equal to one-eighth of a mile, equivalent to 220 yards, 660 feet, 40 rods, or 10 chains. The exact value of the furlong varies slightly among English-speaking countries. Five furlongs are approximately 1 kilometre (1.0058 km is a closer approximation). Since the original definition of the metre was one-quarter of one ten-millionth of the circumference of the Earth (along the great circle coincident with the meridian of longitude passing through Paris), the circumference of the Earth is about 40,000 km or about 200,000 furlongs.",NA,0
"[fth_i]","FATH","Fathom","http://qudt.org/vocab/unit/FATH","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",1.8288,"A fathom = 1.8288 meters, is a unit of length in the imperial and the U.S. customary systems, used especially for measuring the depth of water. There are two yards in an imperial or U.S. fathom. Originally based on the distance between the man's outstretched arms, the size of a fathom has varied slightly depending on whether it was defined as a thousandth of an (Admiralty) nautical mile or as a multiple of the imperial yard.  Abbreviations: f, fath, fm, fth, fthm.",NA,0
"[ft_us]","FT_US","US Survey Foot","http://qudt.org/vocab/unit/FT_US","http://qudt.org/vocab/dimensionvector/A0E0L1I0M0H0T0D0",0.3048006,NA,"\(\textit{US Survey Foot}\) is a unit for 'Length' expressed as \(ftUS\).",0
"[ft_i]3/s","FT3-PER-SEC","Cubic Foot per Second","http://qudt.org/vocab/unit/FT3-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.028316846592,NA,"""Cubic Foot per Second"" is an Imperial unit for \( \textit{Volume Per Unit Time}\) expressed as \(ft^3/s\).",0
"[ft_i]3/min","FT3-PER-MIN","Cubic Foot per Minute","http://qudt.org/vocab/unit/FT3-PER-MIN","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.0004719474432,NA,"""Cubic Foot per Minute"" is an Imperial unit for  'Volume Per Unit Time' expressed as \(ft^3/min\).",0
"[ft_i]3.s-1","FT3-PER-SEC","Cubic Foot per Second","http://qudt.org/vocab/unit/FT3-PER-SEC","http://qudt.org/vocab/dimensionvector/A0E0L3I0M0H0T-1D0",0.028316846592,NA,"""Cubic Foot per Second"" is an Imperial unit for \( \textit{Volume Per Unit Time}\) expressed as \(ft^3/s\).",0
